GDAY_DS,T_ID,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,득점권_타율
20200719,HH,37,34,2,8,2,0,0,10,2,0,1,1,1,1,14,0,0,1,.125
20200719,HT,38,32,4,8,0,1,0,10,4,0,0,6,0,0,5,1,0,0,.571
20200719,KT,33,32,2,5,0,0,1,8,2,0,0,1,0,0,9,0,0,0,.000
20200719,LG,34,32,6,7,1,1,1,13,5,0,0,1,1,0,4,0,0,0,.750
20200719,LT,31,29,2,6,1,0,1,10,2,0,0,1,0,0,7,3,1,0,.000
20200719,NC,40,36,8,12,1,1,1,18,8,0,0,4,0,0,8,1,0,0,.625
20200719,OB,41,37,8,11,3,0,1,17,8,2,1,2,2,1,4,0,0,0,.364
20200719,SK,37,30,4,6,0,0,0,6,3,0,0,7,0,0,10,0,0,0,.250
20200719,SS,34,31,1,7,0,0,1,10,1,2,1,3,0,0,9,1,0,0,.000
20200719,WO,37,33,3,7,0,0,1,10,3,1,0,3,1,0,4,1,0,0,.333
20200721,HH,32,29,2,3,0,0,1,6,2,0,0,2,1,0,7,1,0,0,
20200721,HT,50,41,10,16,2,0,2,24,9,0,1,8,1,0,8,2,0,0,.333
20200721,KT,39,34,10,12,0,0,3,21,10,1,0,4,0,0,7,1,1,0,.625
20200721,LG,44,38,9,13,4,0,2,23,9,0,1,6,0,0,7,1,0,0,.200
20200721,LT,40,35,7,10,1,0,1,14,7,1,0,5,0,0,4,1,0,0,.500
20200721,NC,42,38,6,13,3,0,3,25,6,0,2,2,1,1,7,0,1,0,.429
20200721,OB,32,31,6,7,2,1,1,14,6,2,0,1,0,0,6,0,0,0,.800
20200721,SK,40,34,8,13,1,0,3,23,8,2,0,4,0,0,6,1,1,1,.250
20200721,SS,41,36,5,9,0,0,1,12,5,3,0,4,0,0,7,2,1,0,.286
20200721,WO,36,35,1,9,1,0,0,10,1,0,1,1,0,0,9,0,0,0,.167
20200722,HH,35,29,1,4,1,0,0,5,1,0,0,5,0,0,14,1,1,0,.000
20200722,HT,37,30,2,5,0,0,0,5,2,0,0,3,1,0,10,0,3,0,.111
20200724,HH,36,29,4,5,0,0,0,5,3,1,2,7,0,0,11,1,0,0,.250
20200724,KT,39,33,2,6,1,0,1,10,1,2,1,6,0,0,10,0,0,0,.000
20200724,LG,46,40,8,15,2,1,2,25,8,1,0,5,1,1,3,1,0,0,.250
20200724,LT,40,33,4,9,1,0,0,10,3,2,2,6,0,0,8,1,1,0,.182
20200724,NC,37,32,3,7,2,0,1,12,3,1,0,3,0,0,11,0,2,0,.333
20200724,OB,35,31,1,8,3,0,0,11,1,1,1,4,0,0,4,2,0,0,.167
20200724,SK,40,34,7,8,1,0,3,18,7,1,0,5,0,0,13,0,0,1,.200
20200724,WO,34,31,2,6,2,0,1,11,2,1,0,2,0,0,12,1,0,1,.200
20200725,HT,37,31,8,11,2,0,0,13,8,0,0,3,0,1,9,1,2,1,.500
20200725,KT,33,29,6,8,4,0,1,15,6,0,1,4,0,0,9,2,0,0,.333
20200725,LG,36,35,3,10,3,0,0,13,2,0,0,1,0,0,8,3,0,0,.429
20200725,LT,40,35,6,9,2,0,0,11,6,0,1,3,2,0,11,0,0,0,.400
