GDAY_DS,T_ID,출장,선발,완투,완봉,승,패,홀드,세,이닝,실점,자책,타자,타수,안타,2타,3타,홈런,볼넷,고4,사구,삼진,투구,WHIP
20200719,HH,3,1,0,0,0,1,0,0,8.0,6,5,34,32,7,1,1,1,1,0,1,4,115,12.00
20200719,HT,4,1,0,0,0,1,0,0,9.0,8,8,41,37,11,3,0,1,2,1,2,4,137,2.14
20200719,KT,5,1,0,0,0,1,0,0,8.0,8,8,40,36,12,1,1,1,4,0,0,8,166,6.00
20200719,LG,4,1,0,0,1,0,0,0,9.0,2,2,37,34,8,2,0,0,1,1,1,14,129,0.86
20200719,LT,4,1,0,0,1,0,2,1,9.0,1,1,34,31,7,0,0,1,3,0,0,9,155,0.60
20200719,NC,4,1,0,0,1,0,0,0,9.0,2,2,33,32,5,0,0,1,1,0,0,9,144,0.00
20200719,OB,5,1,0,0,1,0,1,0,9.0,4,4,38,32,8,0,1,0,6,0,0,5,177,3.00
20200719,SK,4,1,0,0,1,0,0,1,9.0,3,3,37,33,7,0,0,1,3,0,1,4,134,1.50
20200719,SS,2,1,0,0,0,1,0,0,9.0,2,2,31,29,6,1,0,1,1,0,0,7,130,0.00
20200719,WO,6,1,0,0,0,1,2,0,8.0,4,4,37,30,6,0,0,0,7,0,0,10,173,1.80
20200721,HH,6,1,0,0,0,1,0,0,9.0,10,9,50,41,16,2,0,2,8,0,1,8,222,1.91
20200721,HT,4,1,0,0,1,0,0,0,9.0,2,2,32,29,3,0,0,1,2,0,1,7,133,
20200721,KT,6,1,0,0,1,0,1,0,9.0,9,9,44,38,13,4,0,2,6,0,0,7,168,1.88
20200721,LG,7,1,0,0,0,1,0,0,8.0,10,10,39,34,12,0,0,3,4,0,0,7,150,5.25
20200721,LT,7,1,0,0,0,1,2,0,8.1,8,8,40,34,13,1,0,3,4,0,0,6,166,1.80
20200721,NC,8,1,0,0,1,0,3,0,10.0,5,5,41,36,9,0,0,1,4,0,0,7,182,1.00
20200721,OB,4,1,0,0,1,0,0,0,9.0,1,1,36,35,9,1,0,0,1,0,0,9,143,0.60
20200721,SK,5,1,0,0,1,0,0,0,9.0,7,7,40,35,10,1,0,1,5,0,0,4,161,3.60
20200721,SS,6,1,0,0,0,1,0,0,9.1,6,6,42,38,13,3,0,3,2,1,1,7,162,2.40
20200721,WO,4,1,0,0,0,1,0,0,8.0,6,6,32,31,7,2,1,1,1,0,0,6,121,12.00
20200722,HH,4,1,0,0,0,1,0,0,9.0,2,2,37,30,5,0,0,0,3,0,1,10,148,1.00
20200722,HT,4,1,0,0,1,0,2,1,9.0,1,1,35,29,4,1,0,0,5,0,0,14,153,1.50
20200724,HH,6,1,0,0,0,1,0,0,9.0,7,7,40,34,8,1,0,3,5,0,0,13,164,0.60
20200724,KT,4,1,0,0,0,1,0,0,9.0,3,3,37,32,7,2,0,1,3,0,0,11,152,2.00
20200724,LG,5,1,0,0,1,0,0,0,9.0,1,1,35,31,8,3,0,0,4,0,0,4,134,1.50
20200724,LT,5,1,0,0,1,0,3,1,9.0,2,2,34,31,6,2,0,1,2,0,0,12,142,0.60
20200724,NC,3,1,0,0,1,0,1,1,9.0,2,1,39,33,6,1,0,1,6,0,0,10,154,0.55
20200724,OB,4,1,0,0,0,1,0,0,9.0,8,8,46,40,15,2,1,2,5,1,1,3,170,1.67
20200724,SK,5,1,0,0,1,0,2,1,9.0,4,4,36,29,5,0,0,0,7,0,0,11,163,1.00
20200724,WO,6,1,0,0,0,1,0,0,9.0,4,4,40,33,9,1,0,0,6,0,0,8,176,1.67
20200725,HT,6,1,0,0,1,0,0,0,9.0,2,2,38,32,7,1,0,0,6,0,0,10,173,0.86
20200725,KT,4,1,0,0,1,0,1,0,9.0,2,2,36,31,6,0,0,0,4,0,0,3,150,3.00
20200725,LG,3,1,0,0,0,1,0,0,8.0,7,7,34,31,10,4,0,1,2,0,0,6,149,3.00
20200725,LT,5,1,0,0,1,0,1,1,9.0,3,3,36,27,3,1,0,0,6,0,1,8,145,1.00
20200725,NC,5,1,0,0,0,1,0,0,8.0,6,6,33,29,8,4,0,1,4,0,0,9,141,1.71
20200725,OB,5,1,0,0,1,0,1,0,9.0,3,3,36,35,10,3,0,0,1,0,0,8,137,3.00
20200725,SS,4,1,0,0,0,1,0,0,8.0,8,8,37,31,11,2,0,0,3,1,0,9,164,2.25
20200725,WO,3,1,0,0,0,1,0,0,9.0,6,6,40,35,9,2,0,0,3,0,2,11,132,3.00
20200726,HH,7,1,0,0,0,1,0,0,9.0,7,7,42,35,10,2,0,0,5,0,2,5,180,1.39
20200726,HT,6,1,0,0,1,0,4,1,9.0,5,5,43,36,12,4,0,1,4,0,0,4,157,0.64
