GDAY_DS,T_ID,타석,타수,득점,안타,2타,3타,홈런,루타,타점,도루,도실,볼넷,사구,고4,삼진,병살,희타,희비,득점권_타율
20200922,HH,35,29,5,6,0,0,1,9,5,0,0,4,1,0,16,0,1,0,.429
20200922,HT,33,30,0,4,0,0,0,4,0,0,0,3,0,0,8,1,0,0,.000
20200922,KT,30,28,0,2,0,0,0,2,0,0,1,2,0,0,10,0,0,0,.000
20200922,LG,35,30,7,7,1,0,0,8,6,2,0,5,0,0,5,2,0,0,.333
20200922,LT,36,31,8,10,0,0,2,16,8,1,0,5,0,2,5,2,0,0,.600
20200922,NC,36,30,3,6,1,0,0,7,2,1,0,4,2,0,4,1,0,0,.143
20200922,OB,33,29,1,6,0,0,1,9,1,0,0,3,1,0,5,3,0,0,.000
20200922,SK,32,31,2,3,0,0,1,6,2,1,0,1,0,0,9,0,0,0,.333
20200922,SS,34,33,2,6,0,0,0,6,2,0,0,1,0,0,11,0,0,0,.333
20200922,WO,35,32,2,5,1,0,0,6,2,0,0,3,0,0,3,0,0,0,.200
20200923,HH,38,34,6,12,3,0,1,18,6,1,0,2,1,0,13,1,1,0,.231
20200923,HT,34,32,1,5,0,0,1,8,1,0,0,1,1,0,7,0,0,0,.000
20200923,KT,46,42,10,16,3,0,1,22,9,1,1,3,1,0,5,0,0,0,.353
20200923,LG,33,31,6,10,2,0,1,15,6,0,1,1,0,0,6,0,0,1,.500
20200923,LT,41,33,5,9,1,0,1,13,4,0,0,8,0,0,7,3,0,0,.000
20200923,NC,36,30,8,10,1,0,1,14,8,0,1,5,0,0,7,2,0,1,.625
20200923,OB,43,37,5,11,5,0,0,16,5,0,0,5,0,0,6,0,0,1,.176
20200923,SK,36,33,2,8,3,0,0,11,2,0,0,1,0,0,10,0,0,2,.000
20200923,SS,39,36,7,10,2,1,1,17,5,2,0,2,0,0,11,0,0,1,.286
20200923,WO,48,42,13,17,3,2,2,30,13,0,0,4,1,0,6,1,0,1,.500
20200924,HH,41,36,7,15,4,0,1,22,7,2,1,3,1,1,8,2,1,0,.333
20200924,HT,46,40,5,16,4,1,0,22,4,0,0,5,0,0,3,1,1,0,.313
20200924,KT,37,34,3,8,2,0,0,10,2,0,0,3,0,0,11,0,0,0,.222
20200924,LG,42,35,8,9,1,0,4,22,8,1,0,7,0,0,11,1,0,0,.400
20200924,LT,38,32,4,6,0,0,0,6,4,3,0,5,0,0,5,1,0,1,.300
20200924,NC,45,39,12,17,4,0,2,27,12,0,0,3,2,0,4,1,0,1,.500
20200924,OB,33,26,1,1,0,0,0,1,1,0,0,5,1,1,5,0,1,0,.100
20200924,SK,33,29,1,6,1,0,0,7,1,1,1,4,0,0,8,3,0,0,.200
20200924,SS,34,32,0,7,1,0,0,8,0,1,0,2,0,0,8,2,0,0,.000
20200924,WO,36,32,6,9,1,0,0,10,6,2,0,2,1,0,7,0,0,1,.308
20200925,HH,48,40,6,13,2,0,3,24,6,0,0,6,1,1,7,1,1,0,.200
20200925,HT,40,37,3,12,2,0,0,14,3,0,0,3,0,0,4,1,0,0,.200
20200925,KT,40,31,7,12,1,0,2,19,7,1,1,7,0,0,1,2,1,1,.400
20200925,LG,36,33,1,7,0,0,1,10,1,0,0,3,0,0,7,1,0,0,.000
20200925,LT,42,37,5,13,0,0,2,19,5,0,0,3,1,0,6,3,0,1,.286
20200925,NC,42,30,7,9,2,1,1,16,7,2,0,6,3,0,10,1,1,2,.100
20200925,OB,36,32,3,7,1,1,0,10,3,0,0,2,0,0,6,0,1,1,.167
20200925,SK,48,40,8,10,3,0,1,16,7,7,0,7,0,2,6,1,1,0,.188
20200925,SS,34,31,4,7,0,0,1,10,3,2,0,2,0,0,7,1,1,0,.250
20200925,WO,50,45,6,17,4,0,0,21,5,2,1,4,0,0,11,1,1,0,.368
20200926,HH,37,36,1,9,2,0,1,14,1,0,0,1,0,0,7,0,0,0,.000
20200926,HT,40,34,3,8,1,0,0,9,3,0,0,5,1,0,7,2,0,0,.167
20200926,KT,36,31,1,7,2,0,0,9,1,2,1,4,0,0,5,0,0,1,.200
20200926,LG,39,31,3,7,1,1,0,10,3,1,0,6,0,0,3,1,2,0,.273
20200926,LT,50,44,16,18,7,0,1,28,15,0,0,4,1,0,5,0,0,1,.556
20200926,NC,51,42,13,16,1,1,2,25,12,0,1,9,0,0,7,0,0,0,.500
20200926,OB,35,31,4,9,2,1,0,13,4,0,0,2,0,0,3,0,2,0,.400
20200926,SK,36,32,2,8,0,0,1,11,2,0,1,2,0,0,10,0,2,0,.286
20200926,SS,38,33,8,12,1,0,3,22,8,0,0,4,0,0,3,2,1,0,.300
20200926,WO,32,30,0,3,1,0,0,4,0,1,0,2,0,0,9,0,0,0,.000
